"","fno","country","year","season","lat","long","pc","cem","ast","nplsqm","ccd","vartype","fym","n","p","k","mf","wcp","iu","hu","fu","cs","ldg","yield","dscum","wecum","ntmax","npmax","nltmax","nlhmax","waa","wba","dhx","whx","ssx","wma","lfa","lma","rha","thrx","pmx","defa","bphx","wbpx","awx","rbx","rbbx","glhx","stbx","rbpx","hbx","bbx","blba","lba","bsa","blsa","nbsa","rsa","lsa","shbx","shrx","srx","fsmx","nbx","dpx","rtdx","rsdx","gsdx","rtx"
"11","11","PHL","2010","WS",14.2663,121.4352,1,"1","15",0,92,2,0,65,7,7,79,"2",2,1,0,"3",0,7.6,"1","0",19.1,16.1,5.2,5.2,206.67,83.33,4.17,1.81,0,68.91,271.74,0,0,0,0,367.19,4,0,0,0,0,8,0,NA,0,0,14.29,0,0,142.25,200.12,0,222.5,34.05,0,0,0,0,0.59,0,0,0,0.34
"12","12","PHL","2010","WS",14.2673,121.4346,1,"1","15",0,115,2,0,108,0,0,108,"2",3,1,0,"3",0,6.21,"0","0",21.7,17.6,4.9,4.9,100,166.67,1.75,1.05,0,242.56,232.56,0,0,0,0,71.77,7,2,0,1,0,10,0,NA,0,0,0,24.48,0,483.09,2272.77,0,394.99,64.64,1,1.43,0,0,0,0,0,0,8.31
"13","13","PHL","2010","WS",14.2686,121.4344,1,"1","25",0,101,2,0,64,0,0,64,"1",1,0,0,"3",0,4.92,"1","0",19.1,14.6,5.1,5.1,80,0,3.4,0.67,0,286.71,73.69,0,0,0,0,166.1,6,1,0,0,0,8,0,NA,0,0,0,0,0,107.34,1934.2,0,0,0,0.83,0,0,0,0,0,0,0,0
"14","14","PHL","2010","WS",14.2692,121.4343,1,"1","17",0,119,2,0,138,0,0,138,"2",3,1,0,"3",0,5.26,"1","0",17.3,17.3,5,5,50,0,12.78,0,0,257.51,93.89,0,0,0,0,277.79,3,0,0,0,0,5,0,NA,0,0,17.5,0,0,415.3,2015.5,0.26,0,4.38,0.59,0,0,0,0,0,0,0,1.33
"15","15","PHL","2010","WS",14.2677,121.4347,1,"1","17",0,137,2,0,103.5,0,0,103.5,"1",2,0,0,"3",25,5.47,"0","0",20.8,17.9,5.3,5.3,103.33,166.67,1.54,3.9,0,102.19,50.3,0,0,0,0,162.44,11,0,0,0,0,8,0,NA,0,0,145.06,0,0,179.76,964.81,0,0,53.83,0,0,0,0,0,0,0,0,1.88
"16","16","PHL","2010","WS",14.2701,121.4342,1,"1","21",0,102,2,1,69,0,0,69,"2",1,1,0,"3",0,4.87,"0","0",18.4,14.1,4.8,4.8,10,83.33,2.22,4.74,0,249.06,301.73,0,0,0,0,496.89,4,1,0,0,0,80,0,NA,0,0,23.08,45.5,0,0,245.4,0,0,3.33,0,0.83,0,0,0,0,0,0,3.83
"17","17","PHL","2010","WS",14.2702,121.4347,1,"1","21",0,102,2,1,76,0,0,76,"2",1,1,0,"3",0,4.98,"0","0",19.7,18.3,5,5,0,0,3.05,5.79,0,507.5,239.33,0,0,0,0,533.22,5,0,0,1,0,36,0,NA,0,0,328.14,9.52,0,9.52,806.01,0,60.84,2.94,1.96,0,0,0,0,38,0,0,0
"18","18","PHL","2010","WS",14.2659,121.2548,1,"1","15",0,100,2,0,55,0,0,55,"2",2,1,0,"4",0,6.19,"1","0",15.4,15.4,5,5,250,500,0,0,0,176.35,125.05,0,0,0,0,646.19,2,0,0,0,0,9,0,NA,0,0,0,0,0,723.68,886.28,0,0,92.17,0,0,0,0,0,0,0,0,0
"19","19","PHL","2010","WS",14.266,121.438,1,"1","15",0,100,2,0,55,0,0,55,"2",2,1,0,"3",0,5.55,"1","0",18.7,15.5,5,5,123.33,83.33,0,0,0,105.05,229.61,0,0,0,0,633.67,2,0,0,0,0,4,0,NA,0,0,0,0,0,800.01,1255.17,0,0,100,0,0,4.87,0,0,0,0,0,3.45
"20","20","PHL","2010","WS",14.2659,121.4387,1,"1","20",0,97,3,0,22,0,0,22,"1",3,0,0,"2",0,4.49,"0","0",19.6,15.6,5.1,5.1,176.67,1083.33,7.74,1.33,0,313.49,192.68,0,0,0,0,491.21,0,1,0,0,0,2,0,NA,0,0,85.5,0,0,1401.74,161.54,0,0,40.05,0,0.67,1.39,0,0,0,0,0,8.18
"21","21","PHL","2011","DS",14.1751,121.2935,1,"1","20",0,98,2,1,75.5,10,10,95.5,"3",8,1,0,"3",0,4.86,"1","0",21.8,20.5,5.2,5.2,20,400,0.48,9.96,0,642.4,46.4,0,0,0,0,163.27,0,11,0,0,0,74,0,NA,0,0,23.16,0,0,0,0,0,0,10,0,0,1.05,0,0,0,0,0,3.33
"22","22","PHL","2011","DS",14.1747,121.2937,1,"1","20",0,95,2,1,75.5,10,10,95.5,"3",8,1,0,"2",0,4.74,"1","0",24.8,16.7,5,5,116.67,1275,0,13.01,0,874.58,0,0,0,0,0,117.24,2,7,0,0,0,39,0,NA,0,0,0,0,0,0,0,0,0,0,1.77,0,1.11,0,0,0,0,0,2.64
"23","23","PHL","2011","DS",14.1766,121.3096,1,"1","22",0,109,1,1,130.2,0,0,130.2,"3",3,2,0,"2",0,5.02,"1","0",23,17.9,5.2,5.2,220,1800,0,7.53,0.43,529.55,23.89,0,0,0,0,113.9,5,11,0,0,0,25,0,NA,0,0,44.32,0,0,0,0,0,0,3.16,3.09,0,0,0,0,0,0,0,1.43
"24","24","PHL","2011","DS",14.1765,121.3092,1,"1","22",0,109,1,1,130.2,0,0,130.2,"3",3,2,0,"2",0,4.72,"2","0",20.2,15.4,5.8,5.8,93.33,800,0,8.63,0,526.14,13.71,0,0,0,0,181.71,2,5,0,0,0,31,0,NA,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67
"25","25","PHL","2011","DS",14.1592,121.3077,1,"1","13",0,103,2,1,126.5,0,0,126.5,"3",2,2,0,"3",0,6.69,"1","0",24.7,20.5,4.8,4.8,50,200,0,0.45,0,147.26,4.63,0,0,0,0,127.55,0,2,0,0,0,7,0,NA,0,0,0,0,0,0,11.36,0,0,14.14,0,0,0,0.45,0,0,0,0,2.57
"26","26","PHL","2011","DS",14.1594,121.3082,1,"1","13",0,103,2,1,126.5,0,0,126.5,"3",2,2,0,"4",0,6.93,"1","0",28.2,19.8,4.9,4.9,25,200,0.77,3.09,0,185.56,19.09,0,0,0,0,157.7,0,1,0,0,0,4,0,NA,0,0,0,0,0,0,45.56,0,0,20,0,0,0,0,0,0,0,0,0
"27","27","PHL","2011","DS",14.1585,121.3086,1,"1","19",0,112,1,1,135.5,7.8,7.9,151.2,"3",1,3,0,"2",0,5.35,"1","0",21.3,21.3,4.6,4.6,73.33,600,0,16.36,0,1006.36,139.45,0,0,0,0,257.49,0,4,0,0,0,36,0,NA,0,0,10.75,0,0,0,0,0,0,8.4,1.38,0,0,0,0,0,0,0,0
"28","28","PHL","2011","DS",14.1582,121.3087,1,"1","19",0,112,1,1,135.5,7.8,7.9,151.2,"3",1,3,0,"3",0,5.14,"2","0",23.9,16.5,4.8,4.8,173.33,133.33,0,13.56,0,869.66,80.91,0,0,0,0,269.72,0,5,0,0,0,57,0,NA,0,0,0,0,0,0,29.87,0,0,15,1.21,0,0,0,0,0,0,0,0
"29","29","PHL","2011","DS",14.1583,121.3078,1,"1","22",0,99,2,1,113,0,0,113,"3",2,1,0,"3",0,4.9,"1","0",29.1,24.8,5.3,5.3,373.33,1400,0.65,38.32,0.53,806.18,206.79,0,0,0,0,354.4,2,5,0,0,0,6,0,NA,0,0,5.26,11.9,0,0,0,0,0,22.81,0.8,0,1.82,0,0,0,0,0,0.88
"30","30","PHL","2011","DS",14.1581,121.3079,1,"1","22",0,99,2,1,113,0,0,113,"3",2,1,0,"3",0,3.89,"1","0",27,22.5,5.3,5.3,400,200,0,22.83,0,763.94,175.88,0,0,0,0,353.73,0,6,0,0,0,12,0,NA,0,0,10.52,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1.58
"31","31","PHL","2011","DS",14.2663,121.4352,1,"1","14",0,93,2,1,122,7,7,136,"1",2,0,0,"3",0,4.7,"1","0",20.4,15.7,5.1,5.1,20,675,0,0.56,0,27.22,743.38,0,0,0,0,188.81,4,1,0,0,0,3,0,NA,0,0,0,0,0,0,0,0,0,17.79,0,0,0,0,0,0,0,0,0
"32","32","PHL","2011","DS",14.2673,121.4346,1,"1","15",0,99,2,1,108,0,0,108,"3",1,1,0,"3",0,6.52,"0","0",21,18.9,5,5,58.33,133.33,1.39,1.25,0.63,378.34,65.86,0,0,0,0,296.4,3,0,0,0,0,7,0,NA,0,0,0,0,0,0,0,0,0,71.67,0.63,0,0,0,0,0,0,0,0
"33","33","PHL","2011","DS",14.2686,121.4344,1,"1","20",0,94,2,1,102.2,0,0,102.2,"3",1,0,0,"3",0,5.76,"0","0",23.1,21.2,5,5,41.67,200,3.49,2.15,0,273.05,76.88,0,0,0,0,214.65,0,1,0,0,0,5,0,NA,0,0,0,0,0,0,24.31,0.14,0,10.83,0,0,0,0,0,0,0,0,10.16
"34","34","PHL","2011","DS",14.2692,121.4343,1,"1","0",0,100,2,1,128.8,0,0,128.8,"3",3,0,0,"3",0,6.05,"1","0",23,19,4.9,4.9,58.33,133.33,0.91,0.63,0,194.35,89.45,0,0,0,0,306.27,2,2,0,0,0,7,0,NA,0,0,0,0,0,0,16.67,0,0,1.58,0,0,0,0,0,0,0,0,3.25
"35","35","PHL","2011","DS",14.2677,121.4347,1,"1","0",0,97,2,1,115,0,57.5,172.5,"3",2,0,0,"3",0,5.19,"1","0",18.7,17.5,5.1,5.1,553.33,133.33,0,0,0,227.72,38.96,0,0,0,0,184.59,4,3,0,0,0,63,0,NA,0,0,0,0,0,0,21.45,0,0,74.71,0,0,0,0,0,0,0,0,0
"36","36","PHL","2011","DS",14.2701,121.4342,1,"1","17",0,101,2,1,114,40.5,10.5,165,"3",2,1,0,"3",0,5.35,"2","0",21.8,19.4,4.9,4.9,226.67,400,0.32,0,0,96.46,112.17,0,0,0,0,186.95,1,4,0,0,0,34,0,NA,0,0,27.28,0,0,0,5.26,0,0,32.86,0,0,0,0.71,0,0,0,0,2.94
"37","37","PHL","2011","DS",14.2702,121.4347,1,"1","17",0,101,2,1,114,40.5,10.5,165,"3",2,1,0,"3",0,4.88,"2","0",18.4,18.4,4.7,4.7,146.67,200,2.37,2.92,0,251.37,149.97,0,0,0,0,251.77,2,0,0,0,0,22,0,NA,0,0,12.22,0,0,0,0,0,0,3.33,1.11,0,0,0,0,0,0,0,1.25
"38","38","PHL","2011","DS",14.2659,121.2548,1,"1","14",0,100,2,1,53.6,0,0,53.6,"3",1,0,0,"3",0,5.55,"1","0",23.3,21.5,5,5,40,200,0,1.31,0.91,76.36,101.66,0,0,0,0,337.29,4,3,0,0,0,6,0,NA,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0
"39","39","PHL","2011","DS",14.266,121.438,1,"1","14",0,100,2,1,53.6,0,0,53.6,"3",1,0,0,"3",0,5.36,"1","0",22.5,21.2,4.7,4.7,26.67,400,0,4.7,0.67,68.91,104.89,0,0,0,0,417.89,4,2,0,0,0,5,0,NA,0,0,0,0,0,0,20.9,0,0,77.67,0.5,0,0,0,0,0,0,0,0
"40","40","PHL","2011","DS",14.2659,121.4387,1,"1","0",0,114,2,1,115,0,0,115,"3",0,1,0,"2",0,7.03,"0","0",26.4,23.1,4.7,4.7,66.67,225,3.44,0.48,1.04,108.86,48.03,0,0,0,0,241.68,0,4,0,0,0,8,0,NA,0,0,16.27,0,0,0,84.75,0,0,62.38,0.74,0,0,0,0,0,0,0,3.75
"41","41","VNM","2010","WS",10.5424,104.8087,1,"2","0",460,64,1,0,71.1,28,32.7,131.7,"2",3,1,6,"4",100,4.85,"2","0",7,6.4,4,4,25,0,2.86,0,0,561.99,114.93,0,0,0,0,32.14,8,0,0,0,0,1,0,NA,0,0,293.4,68.15,632.48,0,36.21,0,0,11.67,0,0,0,0,57.46,0,18,0,0
"42","42","VNM","2010","WS",10.4574,105.3294,1,"2","0",390,96,2,0,121.7,37.2,41.2,200.1,"2",7,1,9,"4",1,4.96,"2","0",6.9,6.3,4,4,8.33,0,0,0,0,499.11,852.31,0,0,0,0,0,6,1,6,0,0,1,0,NA,0,0,0,0,275.58,145.54,0,0,0,10.92,0,0,0,1.25,49.78,0,0,0,0
"43","43","VNM","2010","WS",10.4468,105.3154,1,"2","0",350,92,2,0,127.4,20,40.8,188.2,"2",3,2,8,"4",0,5.16,"2","0",7.6,7.2,4,4,150,0,0,0,0,340.45,117.81,0,0,0,0,0,6,4,0,0,0,1,0,NA,0,0,11.25,157.28,673.41,0,0,12.06,0,0,0,0,0,0,57.38,0,12,0,0
"44","44","VNM","2010","WS",10.448,105.3051,1,"2","0",410,89,2,0,115.5,82.6,50.6,248.8,"2",6,1,8,"4",0,7.38,"0","1",7.8,6.9,4,4,125,75,0,0,0,860.26,31.76,0,0,0,0,144.18,4,21,0,0,0,15,0,NA,0,0,0,14.06,820.8,0,0,0.42,345.47,0,0,0,0,0,30.48,0,30,0,0
"45","45","VNM","2010","WS",10.6026,105.8104,1,"2","0",570,64,2,0,164.6,126.5,34.2,325.3,"2",4,1,3,"3",0,3.05,"2","0",8.4,6.5,4,4,116.67,0,0,1.43,0,594.43,536.27,0,0,0,0,171.73,38,1,0,0,0,6,0,NA,0,0,0,0,927.5,0,48.61,6.39,0,0,0,0,0,0,26.56,0,60,0,0
"46","46","VNM","2010","WS",10.5985,105.8428,1,"2","0",660,93,2,0,79.2,68.4,49,196.6,"2",4,1,4,"3",0,5.22,"1","1",9,7.8,4,4,258.33,450,0,0,0,150.37,392.05,0,0,0,0,28.13,10,4,0,0,0,1,0,NA,0,0,484.53,381.05,0,0,0,0,73.25,3.97,0,0,0,0,13.04,0,22,0,0
"47","47","VNM","2010","WS",10.5985,105.8428,1,"2","0",650,86,2,0,95.1,62.7,57.7,215.5,"2",1,1,4,"3",1,5.02,"1","1",7.9,7.1,3,3,166.67,150,0,0,0,511.96,688.33,0,0,0,0,270.71,96,2,0,1,0,38,0,NA,0,0,0,0,965.1,0,62.24,5.42,399.07,0,0,0,0,0,0,0,50,0,0
"48","48","VNM","2010","WS",9.7624,105.5664,1,"2","0",500,90,2,0,94.6,66.3,23,184,"2",2,3,8,"3",0,2.99,"1","0",6.9,5.6,4,4,225,0,0,0,0,617.06,1581.6,0,0,0,0,0,40,6,0,0,0,0,0,NA,0,0,0,61.53,64.29,0,0,7.21,0,0,0,0,0,0,39.86,0,10,0,0
"49","49","VNM","2010","WS",9.7519,105.5711,1,"2","0",320,87,2,0,68.2,77.7,23,168.9,"2",4,1,5,"4",0,6.61,"2","0",7.7,7.1,4,4,0,0,1.43,2,0,844.47,272.26,0,0,0,0,71.26,22,1,0,0,0,0,0,NA,0,0,0,67.14,686.89,0,78.79,0,0,0,0,0,0,0,61.17,0,16,0,0
"50","50","VNM","2010","WS",9.75,105.557,1,"2","0",320,96,2,0,70.6,61.5,4.3,136.4,"2",1,4,11,"4",90,3.15,"0","1",7.1,6.8,4,4,75,0,0,2.92,0,439.69,632.27,0,0,0,0,11.9,19,4,0,0,0,2,0,NA,0,0,11.9,34.23,427.93,0,98.21,0,0,18,0,0,0,4,39.98,0,6,0,0
"51","51","VNM","2010","WS",10.6227,106.0422,1,"2","0",510,94,2,0,87,76,50,213,"2",2,4,6,"3",0,4.36,"1","1",7.3,6,4,4,0,0,0,0,0,324.78,75.69,0,0,0,0,133.53,32,4,0,0,0,0,0,NA,0,0,172.22,103.57,1642.49,0,358.56,0,0,1.67,0,0,0,0,60.48,0,12,0,0
"52","52","VNM","2010","WS",10.5825,106.059,1,"2","0",340,89,2,0,130,151,53,334,"2",4,1,10,"3",1,3.04,"2","0",8.7,7.2,4,4,0,150,0,0,0,56.25,188.59,0,0,0,0,204.04,70,6,0,0,0,1,0,NA,0,0,230.56,79.34,485.55,0,0,6.44,0,0,0,0,0,0,36.21,0,0,0,0
"53","53","VNM","2010","WS",10.568,106.0645,1,"2","0",320,90,2,0,93.6,90,47.5,231.1,"2",2,1,8,"3",0,3.63,"2","0",8.9,7.8,4,4,100,0,0,0,0,22.5,87.73,0,0,0,0,529.93,50,1,0,0,0,5,0,NA,0,0,145.83,256.13,486.42,0,0,0.28,41.48,4.22,0,0,0,11.54,32.5,0,0,0,0
"54","54","VNM","2010","WS",10.243,105.5407,1,"2","0",580,95,2,0,73.6,46.4,23.2,143.2,"2",3,1,3,"3",0,4.96,"2","0",7.5,6,4,4,233.33,0,1.67,0,0,235.23,145.37,0,0,0,0,30.13,0,0,0,0,0,0,0,NA,0,0,219.89,1220.73,357.83,96.83,121.13,0.31,0,0,0,0,0,0,53.14,0,18,0,0
"55","55","VNM","2010","WS",10.5771,105.6454,1,"2","0",460,105,2,0,75.8,59.2,38.9,174,"2",2,1,6,"3",30,4.09,"1","0",7.8,7.1,4,4,233.33,0,1.25,0,0,1036.32,103.8,0,0,0,0,219.58,0,0,0,0,0,2,0,NA,0,0,87.73,1177.28,1599.98,0,0,2.92,0,10.73,0,0,0,13.67,51.69,0,6,0,0
"56","56","VNM","2010","WS",10.0178,105.9496,1,"2","0",421,86,2,0,116.5,53.2,42.8,212.5,"2",4,2,2,"4",0,4.76,"1","0",7.2,6.4,4,4,175,0,2.86,1.43,3.33,93.75,225.2,0,0,0,0,149.97,22,0,0,3,0,1,0,NA,0,0,188.39,251.42,1547.9,0,154.66,0,0,10.08,1.67,1.11,0,4.29,44.69,0,2,0,0
"57","57","VNM","2010","WS",10.0283,105.9486,1,"2","0",443,88,2,0,112.7,37.4,37.2,187.3,"2",2,1,4,"4",0,5.27,"1","0",7.3,7,4,4,225,0,0,1.67,3.67,0,155.93,0,0,0,0,40.51,21,0,0,4,0,0,0,NA,0,0,444.16,217.87,1068.02,0,101.04,0,0,6.53,1.67,0,0,3.33,12.54,0,0,0,5
"58","58","VNM","2010","WS",10.0255,105.9134,1,"2","0",446,86,2,0,111.5,62,38,211.5,"2",2,2,4,"3",0,4.87,"2","0",7.3,6.7,4,4,125,0,1.43,2,1.11,0,143.23,0,0,0,0,53.57,30,0,0,3,0,1,0,NA,0,0,204.39,253.42,1543.57,0,34.23,0,0,3.93,0,0,0,5.71,44.43,0,4,0,1.25
"59","59","VNM","2010","WS",10.0398,105.912,1,"2","0",445,91,2,0,108.3,63.6,38.8,210.7,"2",1,1,4,"3",0,4.81,"2","0",7.5,7.3,4,4,266.67,0,1.43,2.92,0,0,378.57,0,0,0,0,144.74,25,0,0,3,0,0,0,NA,0,0,269.44,319.74,1692.96,0,96.13,0,0,8.21,0,0,0,1.67,45.83,0,4,0,1.43
"60","60","VNM","2010","WS",10.0179,105.8667,1,"2","0",433,85,2,0,75.3,58,51.2,184.5,"2",2,1,3,"3",0,4.32,"2","0",7.3,7.1,4,4,166.67,0,3.67,4.17,1.43,0,322.62,0,0,0,0,66.96,19,0,0,2,0,2,0,NA,0,0,325.06,291.52,1305.52,0,68.45,0,0,8.69,1.43,0,0,4.35,51.25,0,2,0,5.71
"61","61","VNM","2010","WS",10.0641,105.6768,1,"2","0",410,94,2,0,171.3,98.5,66.3,336,"2",1,3,4,"3",0,3.92,"1","0",8.7,8.6,4,4,200,225,0,0,0,324.89,0,0,0,0,0,0,5,0,0,52,0,6,0,NA,0,0,386.74,63.64,411.37,0,132.1,5.41,0,0,0,0,0,0,84.3,0,0,0,0
"62","62","VNM","2010","WS",10.0625,105.6894,0,"2","0",400,84,2,0,117.8,81,50.3,249.1,"2",1,1,5,"4",0,4.27,"1","0",9.4,8.8,4,4,25,0,0,0,0,534.44,28.41,0,0,0,0,0,1,0,9,0,0,3,0,NA,0,0,216.37,16.67,313.96,0,0,0.72,0,0,0,0,0,3.75,90.37,0,0,0,0
"63","63","VNM","2010","WS",10.0551,105.5553,1,"2","0",417,91,2,0,113,43.6,44,200.6,"2",5,1,2,"4",0,4,"2","0",7.4,7.1,4,4,266.67,0,1.67,1.25,1.43,37.5,119.65,0,0,0,0,117.26,34,0,0,3,0,0,0,NA,0,0,35.71,304.49,1445.38,0,35.05,0,0,5.95,1.43,0,1.11,2.86,53.75,0,4,0,0
"64","64","VNM","2010","WS",10.0529,105.5544,1,"2","0",433,87,2,0,113.4,63.8,45.2,222.4,"2",3,1,2,"4",0,5.08,"2","0",7.1,6.8,4,4,191.67,0,1.25,0,0,0,133.25,0,0,0,0,277.28,32,2,0,4,0,0,0,NA,0,0,120.87,341.17,1319.21,0,125.6,0,0,10.4,1.67,0,0,4.35,42.74,0,4,0,7.92
"65","65","VNM","2010","WS",10.1956,105.5611,1,"2","0",550,91,2,0,91.5,56.5,43.1,191.1,"2",3,1,6,"4",60,6.99,"1","0",9,8.3,4,4,41.67,0,0,0,0,10.23,7.58,0,0,0,0,0,3,0,0,0,0,1,0,NA,0,0,259.23,26.49,1334.2,0,0,0,0,0,0,0,0,12.69,68.33,0,4,0,0
"66","66","VNM","2010","WS",10.2798,105.5224,1,"2","0",540,91,2,0,122.1,47.3,111.5,280.9,"2",8,1,4,"4",10,6.55,"1","0",12.4,8.1,4,4,25,0,0,0,0,133.61,0,0,0,0,0,0,7,2,1,2,0,2,0,NA,0,0,395.13,30.17,984.75,0,21.56,0.33,0,0,0,0,0,0,36.67,8,0,0,0
"67","67","VNM","2010","WS",10.2128,105.568,1,"2","0",580,85,2,0,73.1,45,37.7,118.1,"2",4,1,5,"3",0,6.03,"1","0",7.9,7.7,4,4,225,150,0,0,0,117.5,74.21,0,0,0,0,0,1,0,1,5,0,0,0,NA,0,0,262.7,519.11,1451.87,0,0,0,0,0,0,0,0,3.5,100.67,0,0,0,5.71
"68","68","VNM","2010","WS",10.0625,105.6893,0,"2","0",390,99,2,0,129.4,31.8,23,184.2,"2",5,1,2,"4",0,5.02,"1","0",13.1,12.6,4,4,91.67,0,0,0,0,146.14,24.38,0,0,0,0,0,10,1,9,0,0,1,0,NA,0,0,594.87,18.26,683.57,0,157.14,0,0,5.79,0,0,0,0,65.33,0,0,0,1.5
"69","69","VNM","2010","WS",10.2798,105.5224,1,"2","0",350,96,2,0,82.3,63.9,35.5,181.7,"2",5,1,3,"3",80,4.57,"1","0",13.1,13.1,4,4,150,0,0,0,0,586.66,178.04,0,0,0,0,0,14,1,4,0,0,4,0,NA,0,0,231.52,62.64,726.28,0,301.74,0,0,11.67,3.25,0,0,0,50.38,0,0,0,0
"70","70","VNM","2010","WS",10.243,105.5407,1,"2","0",410,106,2,0,123.6,36.9,40.4,200.9,"2",7,1,4,"3",30,4.78,"1","0",11.1,11,4,4,166.67,0,0,0,0,251.87,107.58,0,0,0,0,0,14,0,2,0,0,1,0,NA,0,0,428.89,39.38,671.65,0,257.84,0,0,11.67,0,0,0,0,50.38,0,0,0,0
"71","71","THA","2010","WS",15.0106,100.0053,1,"2","0",NA,112,2,0,118.8,78.1,56.3,253.1,"2",2,1,0,"3",0,0,"1","0",11.5,11.5,4.8,4.8,63.33,0,0,0,0,0,394.5,0,0,0,0,0,141,0,0,0,0,1,0,NA,0,0,0,0,113.33,0,135,0,0,28.17,6.01,0,0,0,0,0,0,0,0
"72","72","THA","2010","WS",15.0106,100.0053,1,"2","0",NA,120,2,0,118.8,78.1,56.3,253.1,"2",3,2,0,"3",60,4,"1","0",9,9,4.7,4.7,291.67,0,3.75,0,0,0,98.64,0,0,0,0,0,102,0,0,0,0,0,0,NA,0,0,0,0,661.59,0,199.43,0,0,0,1.11,0,0,0,0,0,0,0,0
